eid,subject
2-s2.0-84949808332,medicine
2-s2.0-85049491557,unknown
2-s2.0-84949086655,unknown
2-s2.0-84946099668,medicine
2-s2.0-84946023140,medicine
2-s2.0-84946064513,medicine
2-s2.0-84940447040,unknown
2-s2.0-84941992129,multidisciplinary
2-s2.0-84937429916,computer science
2-s2.0-84937429916,mathematics
2-s2.0-84920703518,unknown
2-s2.0-84945201045,computer science
2-s2.0-84998636455,medicine
2-s2.0-84997610863,medicine
2-s2.0-85033693605,neuroscience
2-s2.0-85012877259,unknown
2-s2.0-85055941761,"biochemistry, genetics & molecular biology"
2-s2.0-85055941761,medicine
2-s2.0-85054381565,unknown
2-s2.0-85044540918,unknown
2-s2.0-85045390535,medicine
2-s2.0-85039707541,medicine
2-s2.0-85039707541,psychology
2-s2.0-85065170828,medicine
2-s2.0-85098835749,medicine
2-s2.0-85090485900,unknown
2-s2.0-85092451099,unknown
2-s2.0-85092708402,unknown
2-s2.0-85092447915,unknown
2-s2.0-85092481765,unknown
2-s2.0-85087382046,"biochemistry, genetics & molecular biology"
2-s2.0-85087382046,medicine
2-s2.0-85084142866,"biochemistry, genetics & molecular biology"
2-s2.0-85084142866,medicine
2-s2.0-85115425381,unknown
2-s2.0-85118492356,medicine
2-s2.0-85118194236,unknown
2-s2.0-85103927355,nursing
2-s2.0-85108062100,unknown
2-s2.0-85102939065,medicine
2-s2.0-85102939065,"pharmacology, toxicology and pharmaceutics"
2-s2.0-85130163070,medicine
2-s2.0-85135965327,"biochemistry, genetics & molecular biology"
2-s2.0-85135965327,medicine
2-s2.0-85136768769,engineering
2-s2.0-85136768769,materials science
2-s2.0-85136768769,physics and astronomy
2-s2.0-85145813162,engineering
2-s2.0-85145813162,materials science
2-s2.0-85145813162,physics and astronomy
2-s2.0-85134425745,unknown
2-s2.0-85128487734,unknown
2-s2.0-85125275511,medicine
2-s2.0-85125275511,neuroscience
2-s2.0-85145344840,medicine
2-s2.0-85178644389,medicine
2-s2.0-85176571725,"business, management and accounting"
2-s2.0-85176571725,social sciences
2-s2.0-85173051773,"biochemistry, genetics & molecular biology"
2-s2.0-85173051773,chemistry
2-s2.0-85173051773,multidisciplinary
2-s2.0-85173051773,physics and astronomy
2-s2.0-85171842416,"biochemistry, genetics & molecular biology"
2-s2.0-85171842416,medicine
2-s2.0-85170109975,psychology
2-s2.0-85161975258,medicine
2-s2.0-85165169066,immunology and microbiology
2-s2.0-85165169066,medicine
2-s2.0-85164436395,unknown
2-s2.0-85151404587,engineering
2-s2.0-85151404587,materials science
2-s2.0-85151404587,physics and astronomy
2-s2.0-85153120908,"biochemistry, genetics & molecular biology"
2-s2.0-85153120908,medicine
2-s2.0-85153233027,agricultural & biological sciences
2-s2.0-85144505224,engineering
2-s2.0-85144505224,materials science
2-s2.0-85144505224,physics and astronomy
2-s2.0-85147833764,immunology and microbiology
2-s2.0-85147833764,medicine
2-s2.0-85149102298,agricultural & biological sciences
2-s2.0-85108838877,arts and humanities
2-s2.0-85108838877,"business, management and accounting"
2-s2.0-85108838877,social sciences
2-s2.0-85174812216,"business, management and accounting"
2-s2.0-85174812216,social sciences
2-s2.0-85174857958,medicine
2-s2.0-85206977599,medicine
2-s2.0-85204224528,psychology
2-s2.0-85201120507,unknown
2-s2.0-85192309800,medicine
2-s2.0-85195387602,energy
2-s2.0-85191888198,unknown
2-s2.0-85185923456,medicine
2-s2.0-85183020689,"business, management and accounting"
2-s2.0-85183020689,social sciences
2-s2.0-85184040813,medicine
2-s2.0-85173546361,medicine
2-s2.0-85183283906,medicine
2-s2.0-105005955529,computer science
2-s2.0-105005955529,decision sciences
2-s2.0-105005955529,mathematics
2-s2.0-105006828644,medicine
2-s2.0-105026417029,multidisciplinary
2-s2.0-105022761628,medicine
2-s2.0-85217409353,mathematics
2-s2.0-105003258157,psychology
2-s2.0-105003258157,social sciences
2-s2.0-105001399334,medicine
2-s2.0-105003624564,medicine
2-s2.0-105001958807,unknown
2-s2.0-85214369271,"biochemistry, genetics & molecular biology"
2-s2.0-85214369271,medicine
2-s2.0-105008228607,computer science
2-s2.0-105008228607,engineering
2-s2.0-105008228607,mathematics
2-s2.0-85215985374,multidisciplinary
2-s2.0-85217561850,"biochemistry, genetics & molecular biology"
2-s2.0-85217561850,medicine
2-s2.0-0034451903,earth and planetary sciences
2-s2.0-0001277363,chemistry
2-s2.0-0342368243,earth and planetary sciences
2-s2.0-85026020350,chemistry
2-s2.0-0034037492,medicine
2-s2.0-0035716394,unknown
2-s2.0-0035174228,agricultural & biological sciences
2-s2.0-0035174228,"biochemistry, genetics & molecular biology"
2-s2.0-0036922319,medicine
2-s2.0-0036922319,neuroscience
2-s2.0-1542570494,social sciences
2-s2.0-0036626641,medicine
2-s2.0-0036484992,unknown
2-s2.0-18644367635,immunology and microbiology
2-s2.0-3042611940,materials science
2-s2.0-3042611940,physics and astronomy
2-s2.0-84954217271,medicine
2-s2.0-84954217271,psychology
2-s2.0-0037232097,chemistry
2-s2.0-0037232097,materials science
2-s2.0-85050683773,unknown
2-s2.0-85050687008,unknown
2-s2.0-10744222328,"biochemistry, genetics & molecular biology"
2-s2.0-10744222328,medicine
2-s2.0-7544224325,medicine
2-s2.0-12144290966,medicine
2-s2.0-10744233564,medicine
2-s2.0-84888993376,unknown
2-s2.0-23744460523,medicine
2-s2.0-23944496918,agricultural & biological sciences
2-s2.0-23944496918,environmental science
2-s2.0-22944473300,chemical engineering
2-s2.0-22944473300,chemistry
2-s2.0-22944473300,materials science
2-s2.0-29844441311,chemical engineering
2-s2.0-29844441311,chemistry
2-s2.0-29844441311,physics and astronomy
2-s2.0-75749129638,agricultural & biological sciences
2-s2.0-19944426683,medicine
2-s2.0-84995360022,medicine
2-s2.0-84995360016,medicine
2-s2.0-33845618175,medicine
2-s2.0-84995363390,medicine
2-s2.0-33845718250,medicine
2-s2.0-33747080802,medicine
2-s2.0-33745319064,medicine
2-s2.0-33646831459,medicine
2-s2.0-33645673862,psychology
2-s2.0-33645673862,social sciences
2-s2.0-33645654746,psychology
2-s2.0-33645654746,social sciences
2-s2.0-33645676248,psychology
2-s2.0-33645676248,social sciences
2-s2.0-29844433728,medicine
2-s2.0-29844433728,psychology
2-s2.0-33644969277,agricultural & biological sciences
2-s2.0-30944437392,medicine
2-s2.0-33645456950,unknown
2-s2.0-35448972494,"biochemistry, genetics & molecular biology"
2-s2.0-35448972494,medicine
2-s2.0-34547959756,medicine
2-s2.0-33947208139,agricultural & biological sciences
2-s2.0-33947208139,"biochemistry, genetics & molecular biology"
2-s2.0-84889444114,unknown
2-s2.0-33846635888,medicine
2-s2.0-85009631802,engineering
2-s2.0-85009631802,physics and astronomy
2-s2.0-36849070335,agricultural & biological sciences
2-s2.0-54049100848,medicine
2-s2.0-44649169933,agricultural & biological sciences
2-s2.0-44649169933,environmental science
2-s2.0-45349093477,medicine
2-s2.0-39949085594,medicine
2-s2.0-39949085594,neuroscience
2-s2.0-39149145133,"biochemistry, genetics & molecular biology"
